NULL;in %;This isch Italian;This isch French
NULL;Begründung für Note unter 4.0;This isch Italian;This isch French
NULL;Noch keine Noten vorhanden;This isch Italian;This isch French
NULL;Noch keine Fächer vorhanden;This isch Italian;This isch French
NULL;Zählt in Semester;This isch Italian;This isch French
NULL;Fach/Modul;This isch Italian;This isch French
NULL;ungenügende;This isch Italian;This isch French
NULL;Korrektur;This isch Italian;This isch French
NULL;IT-Modul;This isch Italian;This isch French
NULL;Menüpunkt wurde hinzugefügt;This isch Italian;This isch French
NULL;Zeit;This isch Italian;This isch French
NULL;Raum;This isch Italian;This isch French
NULL;Lehrer;This isch Italian;This isch French
NULL;Termin löschen;This isch Italian;This isch French
NULL;Keine Einträge;This isch Italian;This isch French
NULL;Überbetriebliche-Kurse;This isch Italian;This isch French
NULL;ÜK-Titel;This isch Italian;This isch French
NULL;Leistung Informatik;This isch Italian;This isch French
NULL;Notenschnitt Informatik-Module und ÜKs;This isch Italian;This isch French
NULL;Fachvorträge;This isch Italian;This isch French
NULL;Leistung Schule;This isch Italian;This isch French
NULL;Notenschnitt Schulfächer;This isch Italian;This isch French
NULL;Verhalten Betrieb;This isch Italian;This isch French
NULL;Leistungslohn anhand aktueller Werte;This isch Italian;This isch French
NULL;Daten Semester;This isch Italian;This isch French
NULL;ALS - Leistungsziele;This isch Italian;This isch French
NULL;Leistung Betrieb;This isch Italian;This isch French
NULL;Keine Benutzer-ID vorhanden;This isch Italian;This isch French
NULL;Sie haben keinen Zugriff auf diese Funktionen;This isch Italian;This isch French
NULL;Bis;This isch Italian;This isch French
NULL;Sprache wurde angepasst;This isch Italian;This isch French
NULL;Sprache anpassen;Regola la lingua;Ajuster la langue
NULL;Deutsch;German;Allemand
NULL;Italienisch;Italiano;Italien
NULL;Französisch;Francese;Français
NULL;Ändern;cambiamento;changement
NULL;Neuer Termin;This isch Italian;This isch French
NULL;Sie haben keine Berechtigungen zu diesem Modul;This isch Italian;This isch French
NULL;Bitte eine Begründung angeben;This isch Italian;This isch French
NULL;Beanstandung abgeschickt;This isch Italian;This isch French
NULL;Löschen bestätigen;This isch Italian;This isch French
NULL;Beanstandung abgeschickt & Eintrag gelöscht;This isch Italian;This isch French
NULL;Bitte ein Semester angeben;This isch Italian;This isch French
NULL;Bitte einen ALS-Titel angeben;This isch Italian;This isch French
NULL;Bitte eine Punktzahl angeben;This isch Italian;This isch French
NULL;Der B-Key muss aus 7 Zeichen bestehen;This isch Italian;This isch French
NULL;Bitte Gruppe auswählen;This isch Italian;This isch French
NULL;Seite enthält keinen gültigen Pfad;This isch Italian;This isch French
NULL;Seite wurde noch nicht verlinkt;This isch Italian;This isch French
NULL;Fehler: Keine/Leere Antwort erhalten;This isch Italian;This isch French
NULL;Fehler: Semester konnten nicht gefunden werden;This isch Italian;This isch French
NULL;Bitte einen Malus-Titel angeben;This isch Italian;This isch French
NULL;Bitte eine Gewichtung angeben;This isch Italian;This isch French
NULL;Kein Eintrag angegeben;This isch Italian;This isch French
NULL;Bist du dir sicher? Dabei werden alle Noten gelöscht;This isch Italian;This isch French
NULL;Kein Fach angegeben;This isch Italian;This isch French
NULL;Klasse speichern;This isch Italian;This isch French
NULL;Klasse gespeichert;This isch Italian;This isch French
NULL;Keine Klasse ausgewählt;This isch Italian;This isch French
NULL;Fehler beim laden des Stundenplanes;This isch Italian;This isch French
NULL;Keine Daten aus dieser Kalenderwoche: Ferien;This isch Italian;This isch French
NULL;Bitte Termin-Titel angeben;This isch Italian;This isch French
NULL;Bitte einen ÜK-Titel angeben;This isch Italian;This isch French
NULL;Bitte einen Verhaltensziele-Titel angeben;This isch Italian;This isch French
NULL;Bitte einen PA angeben;This isch Italian;This isch French
NULL;Bitte Note angeben;This isch Italian;This isch French
NULL;Bitte Titel angeben;This isch Italian;This isch French
NULL;Bitte Gewichtung angeben;This isch Italian;This isch French
NULL;Bitte Begründung für Note unter 4.0 angeben;This isch Italian;This isch French
NULL;Fach wurde hinzugefügt;This isch Italian;This isch French
NULL;Bitte einen Fachvortrag-Titel angeben;This isch Italian;This isch French
NULL;Bitte einen PE-Titel angeben;This isch Italian;This isch French
NULL;Bitte einen STAO-Titel angeben;This isch Italian;This isch French
NULL;Praxisausbildner;This isch Italian;This isch French
NULL;Nachwuchsentwicklung;This isch Italian;This isch French
